"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"coriolisGoodHope","","\Co-sponsored\GOOS\Argo\CORIOLIS-GOOD HOPE","",""
"coriolisOvide","","\Co-sponsored\GOOS\Argo\CORIOLIS-OVIDE","",""
"coriolisPirata","","\Co-sponsored\GOOS\Argo\CORIOLIS-PIRATA","",""
"coriolisPrevimer","","\Co-sponsored\GOOS\Argo\CORIOLIS-PREVIMER","",""
"coriolisProsat","","\Co-sponsored\GOOS\Argo\CORIOLIS-PROSAT","",""
"coriolisRemocean","","\Co-sponsored\GOOS\Argo\CORIOLIS-REMOCEAN","",""
"coriolisRemooceanEq","","\Co-sponsored\GOOS\Argo\CORIOLIS-REMOCEAN EQ.","",""
"coriolisSpice","","\Co-sponsored\GOOS\Argo\CORIOLIS-SPICE","",""
"coriolisTrack","","\Co-sponsored\GOOS\Argo\CORIOLIS-TRACK","",""
"CORMPNC","","\Co-sponsored\GOOS\DBCP\CORMP-NC","",""
"coSponsored","","\Co-sponsored","",""
"CryoNet","","\WIGOS\GCW\CryoNet","",""
"CTBTO","","\WIGOS\GOS\GOS Contributing networks\CTBTO","",""
"DBCP","","\Co-sponsored\GOOS\DBCP","",""
"DBCP","","\Co-sponsored\GOOS\DBCP\DBCP","",""
"DEKOSIM","","\Co-sponsored\GOOS\Argo\DEKOSIM","",""
"DFODB","","\Co-sponsored\GOOS\DBCP\DFO DB","",""
"eAIMS","","\Co-sponsored\GOOS\Argo\E-AIMS","",""
"EANET","","\WIGOS\GAW\GAW Other elements\EANET","",""
"EARLINET","","\WIGOS\GAW\GAW Contributing networks\GALION\EARLINET","",""
"eASAP","","\Co-sponsored\GOOS\SOT\ASAP\E-ASAP","",""
"ECDB","","\Co-sponsored\GOOS\DBCP\EC DB","",""
"ECIABP","","\Co-sponsored\GOOS\DBCP\EC-IABP","",""
"ECMB","","\Co-sponsored\GOOS\DBCP\EC MB","",""
"EMEP","","\WIGOS\GAW\GAW Other elements\EMEP","",""
"ESRLCCG","","\WIGOS\GAW\GAW Other elements\ESRLCCG","",""
"eSurfmar","","\Co-sponsored\GOOS\DBCP\E-SURFMAR","",""
"eSurfmarIrishIMI","","\Co-sponsored\GOOS\DBCP\E-SURFMAR-IRISH IMI","",""
"eSurfmarNOAA","","\Co-sponsored\GOOS\DBCP\E-SURFMAR-NOAA","",""
"eSurfmarUKFRMB","","\Co-sponsored\GOOS\DBCP\E-SURFMAR-UK/FR MB","",""
"eSurfmarUKMB","","\Co-sponsored\GOOS\DBCP\E-SURFMAR-UK MB","",""
"EUROARGO","","\Co-sponsored\GOOS\Argo\EUROARGO","",""
"EurositesPlanier","","\Co-sponsored\GOOS\DBCP\EUROSITES PLANIER","",""
"FERHRITSU","","\Co-sponsored\GOOS\DBCP\FERHRI-TSU","",""
"GALION","","\WIGOS\GAW\GAW Contributing networks\GALION","",""
"GALIONNDACC","","\WIGOS\GAW\GAW Contributing networks\GALION\NDACC","",""
"gaw","","\WIGOS\GAW","",""
"GAWabos","","\WIGOS\GAW\GAW Other elements\ABOS","",""
"gawContributing","","\WIGOS\GAW\GAW Contributing networks","",""
"GAWglobal","","\WIGOS\GAW\GAW Global","",""
"GAWlocal","","\WIGOS\GAW\GAW Local","",""
"GAWnonAffiliated","","\WIGOS\GAW\GAW Other elements\Non-affiliated","",""
"gawOther","","\WIGOS\GAW\GAW Other elements","",""
"GAWPFR","","\WIGOS\GAW\GAW Contributing networks\GAW-PFR","",""
"GAWregional","","\WIGOS\GAW\GAW Regional","",""
"GCOS","","\Co-sponsored\GCOS","",""
"GCW","","\WIGOS\GCW","",""
"germanAODnetwork","","\WIGOS\GAW\GAW Other elements\AOD\German AOD network","",""
"germanyMB","","\Co-sponsored\GOOS\DBCP\GERMANY MB","",""
"globalAOD","","\WIGOS\GAW\GAW Other elements\AOD","",""
"GLOSCAL","","\Co-sponsored\GOOS\DBCP\GLOSCAL","",""
"GNSSradioOccultation","","\WIGOS\GOS\GOS Other elements\GNSS radio-occultation system","",""
"GOOS","","\Co-sponsored\GOOS","",""
"GOS","","\WIGOS\GOS","",""
"GOScontributingNetworks","","\WIGOS\GOS\GOS Contributing networks","",""
"GOship","","\Co-sponsored\GOOS\SOT\GO-SHIP","",""
"GOSother","","\WIGOS\GOS\GOS Other elements","",""
"GOSsurfaceNetworks","","\WIGOS\GOS\GOS Surface networks","",""
"greeceMB","","\Co-sponsored\GOOS\DBCP\GREECE MB","",""
"GRUAN","","\Co-sponsored\GCOS\GRUAN","",""
"GSN","","\Co-sponsored\GCOS\GSN","",""
"GTOS","","\Co-sponsored\GTOS","",""
"GUAN","","\Co-sponsored\GCOS\GUAN","",""
"gyroscope","","\Co-sponsored\GOOS\Argo\GYROSCOPE","",""
"HKOBSDB","","\Co-sponsored\GOOS\DBCP\HK-OBS-DB","",""
"IABP","","\Co-sponsored\GOOS\DBCP\IABP","",""
"IABPcanada","","\Co-sponsored\GOOS\DBCP\IABP CANADA","",""
"IABPEC","","\Co-sponsored\GOOS\DBCP\IABP-EC","",""
"IABPNIC","","\Co-sponsored\GOOS\DBCP\IABP NIC","",""
"IABPUS","","\Co-sponsored\GOOS\DBCP\IABP US","",""
"IABPUW","","\Co-sponsored\GOOS\DBCP\IABP-UW","",""
"IAGOS","","\WIGOS\GAW\GAW Other elements\ABOS\IAGOS","",""
"IBPIO","","\Co-sponsored\GOOS\DBCP\IBPIO","",""
"IDAF","","\WIGOS\GAW\GAW Contributing networks\IDAF","",""
"IMPROVE","","\WIGOS\GAW\GAW Contributing networks\IMPROVE","",""
"INCOISTSU","","\Co-sponsored\GOOS\DBCP\INCOIS-TSU","",""
"INDIANIO","","\Co-sponsored\GOOS\DBCP\INDIA NIO","",""
"indiaNIOT","","\Co-sponsored\GOOS\DBCP\INDIA-NIOT","",""
"indiaNIOTSU","","\Co-sponsored\GOOS\DBCP\INDIA NIO-TSU","",""
"INOCARTSU","","\Co-sponsored\GOOS\DBCP\INOCAR-TSU","",""
"italyDB","","\Co-sponsored\GOOS\DBCP\ITALY DB","",""
"italyOGS","","\Co-sponsored\GOOS\DBCP\ITALY-OGS","",""
"ITPdamocles","","\Co-sponsored\GOOS\Argo\ITP-DAMOCLES","",""
"ITPWHOI","","\Co-sponsored\GOOS\Argo\ITP-WHOI","",""
"JMADB","","\Co-sponsored\GOOS\DBCP\JMA DB","",""
"JMATSU","","\Co-sponsored\GOOS\DBCP\JMA-TSU","",""
"KMAMB","","\Co-sponsored\GOOS\DBCP\KMA MB","",""
