"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"IMPROVE","","","IMPROVE","IMPROVE Optical Aerosol"
"INCOISTSU","","","INCOIS-TSU",NA
"INDIANIO","","","INDIA NIO",NA
"indiaNIOT","","","INDIA-NIOT",NA
"indiaNIOTSU","","","INDIA NIO-TSU",NA
"INOCARTSU","","","INOCAR-TSU",NA
"italyDB","","","ITALY DB",NA
"italyOGS","","","ITALY-OGS",NA
"ITPdamocles","","","ITP-DAMOCLES",NA
"ITPWHOI","","","ITP-WHOI",NA
"JMADB","","","JMA DB",NA
"JMATSU","","","JMA-TSU",NA
"KMAMB","","","KMA MB",NA
"LALINET","","","LALINET","LALINET Latin America Lidar Network"
"lightningDetection","","","Lightning detection system","Surface-based lightning detection system"
"LOCEAN","","","LOCEAN",NA
"marlinDB","","","MARLIN-DB",NA
"MEDARGO","","","MEDARGO",NA
"meridianGoodHope","","","MERIDIAN GOODHOPE",NA
"MERSEA","","","MERSEA",NA
"MeteoFranceDB","","","METEO FRANCE DB",NA
"MeteoFranceMB","","","METEO FRANCE MB",NA
"MeteoFranceWB","","","METEO FRANCE WB",NA
"MOZAIC","","","MOZAIC",NA
"MPLNET","","","MPLNET","Micro-Pulse Lidar Network "
"NADP","","","NADP","National Atmospheric Deposition Program"
"NAOSfrance","","","NAOS-FRANCE",NA
"NCCOOS","","","NCCOOS",NA
"GALIONNDACC","","","NDACC","Network for the Detection of Atmospheric Composition Change"
"NDACC","","","NDACC","Network for the Detection of Atmospheric Composition Change"
"NDBCBP","","","NDBC-BP",NA
"NDBCCOE","","","NDBC-COE",NA
"NDBCCSI","","","NDBC-CSI",NA
"NDBCMB","","","NDBC-MB",NA
"NDBCMBARI","","","NDBC-MBARI",NA
"NDBCNASA","","","NDBC-NASA",NA
"NDBCNOAANWS","","","NDBC-NOAA-NWS",NA
"NDBCTABS","","","NDBC-TABS",NA
"NDBCTSU","","","NDBC-TSU",NA
"NDBCUSCG","","","NDBC-USCG",NA
"NDWCTSU","","","NDWC-TSU",NA
"NewZealandDB","","","NEW ZEALAND DB",NA
"NICIABP","","","NIC-IABP",NA
"NOAACBIBS","","","NOAA-CBIBS",NA
"GAWnonAffiliated","","","Non-affiliated","Observing elements that are not affiliated with GAW or any of the co-sponsored programs"
"WIGOSnonAffiliated","","","Non-affiliated","Observing elements that are not affiliated with WIGOS or any of the co-sponsored programs"
"NorwayIMR","","","NORWAY-IMR",NA
"NWSNDBCMB","","","NWS-NDBC-MB",NA
"NWSNDBCWB","","","NWS-NDBC-WB",NA
"oceanSITES","","","OceanSITES",NA
"OSAWI","","","OS-AWI",NA
"OSBAS","","","OS-BAS",NA
"OSBCCR","","","OS-BCCR",NA
"OSBIOS","","","OS-BIOS",NA
"OSCOM","","","OS-CENTRE D'OCEANOLOGIE DE MARSEILLE",NA
"OSCNR","","","OS-CNR",NA
"OSCNRS","","","OS-CNRS",NA
"OSCSIRO","","","OS-CSIRO",NA
"OSDFO","","","OS-DFO",NA
"OSDML","","","OS-DML",NA
"OSEUTHOR","","","OS-EU-THOR",NA
"OSGEOMAR","","","OS-GEOMAR",NA
"OShamburgUniversity","","","OS-HAMBURG UNIVERSITY",NA
"OSHAV","","","OS-HAV",NA
"OSHCMR","","","OS-HELLENIC CENTRE FOR MARINE RESEARCH",NA
"OSICCMCanarias","","","OS-ICCM - ACIISI - GOBIERNO DE CANARIAS",NA
"OSIFREMER","","","OS-IFREMER",NA
"OIMARPE","","","OS-IMARPE",NA
"OSIMR","","","OS-INSTITUTE OF MARINE RESEARCH",NA
"OSIONTU","","","OS-IO-NTU",NA
"OSIOwarnemuende","","","OS-IO-WARNEMUENDE",NA
"OSIRD","","","OS-IRD",NA
"OSJAMSTEC","","","OS-JAMSTEC",NA
"OSKIOST","","","OS-KIOST",NA
"OSLDEO","","","OS-LDEO",NA
"OSMARUM","","","OS-MARUM",NA
"OSMBARI","","","OS-MBARI",NA
"OSNIO","","","OS-NIO",NA
"OSNIOT","","","OS-NIOT",NA
"OSNIWA","","","OS-NIWA",NA
"OSNOAA-AOML","","","OS-NOAA/AOML",NA
"OSNOAA-PMEL","","","OS-NOAA/PMEL",NA
"OSNOC","","","OS-NOC",NA
"OSOGS","","","OS-OGS",NA
"OSNIOZ ","","","OS-ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH (NIOZ)",NA
"OSSIO","","","OS-SIO",NA
"OSSNU","","","OS-SNU",NA
"OSSOA","","","OS-SOA",NA
"OSUNhawaiiManoa","","","OS-UN_HAWAII_MANOA",NA
"OSUNmiami","","","OS-UN_MIAMI",NA
"OSUSP","","","OS-USP",NA
"OSUW","","","OS-UW",NA
"OSWHOI","","","OS-WHOI",NA
"OSWHOI-SIO-OSU","","","OS-WHOI/SIO/OSU",NA
"pacIOOS","","","PACIOOS",NA
"petrobras","","","PETROBRAS",NA
"PHOTONS","","","PHOTONS","PHOTONS, federated to AERONET"
"PMELMB","","","PMEL MB",NA
"polarAOD","","","PolarAOD","PolarAOD"
"RBCN","","","RBCN","Regional Basic Climatological Networks"
"RBONpilot","","","RBON-Pilot","Regional Basic Observing Network (pilot)"
"RBSN","","","RBSN","GOS Regional Basic Synoptic Networks"
"RBSNp","","","RBSN(P)","Regional Basic Synoptic Network upper-air station (PILOT)"
"RBSNs","","","RBSN(S)","Regional Basic Synoptic Network surface station (SYNOP)"
"RBSNsp","","","RBSN(SP)",NA
"RBSNst","","","RBSN(ST)","Regional Basic Synoptic Network surface and upper-air station (SYNOP/TEMP)"
"RBSNt","","","RBSN(T)","Regional Basic Synoptic Network upper-air station (TEMP)"
"scripps,"","","SCRIPS",NA
"SHADOZ","","","SHADOZ","Southern Hemisphere ADditional Ozonesondes"
"shell","","","SHELL",NA
"shoaTSU","","","SHOA-TSU",NA
"sibRad","","","SibRad","SibRad"
"SIODB","","","SIO-DB",NA
"skynet","","","SKYNET","SKYNET"
"SOOPBOM","","","SOOP-BOM",NA
"SOOT","","","SOOT","Ship Of Opportunity Programme"
"SOT","","","SOT",NA
"spainPDEMB","","","SPAIN-PDE MB",NA
"stratus","","","STRATUS",NA
"TAMDAR","","","TAMDAR","Tropospheric Aircraft Meteorological Data Relay (Commercial/Panasonic). Not currently open to GTS, contract with Panasonic and airline and/or NMHS"
"taoAtlas","","","TAO ATLAS",NA
"taoPirata","","","TAO PIRATA",NA
"taoPirataUS","","","TAO PIRATA US",NA
"taoRamaUSindia","","","TAO RAMA US-INDIA",NA
"taoTriton","","","TAO TRITON",NA
"TCCON","","","TCCON","Total Carbon Column Observing Network"
"UCSDscripps","","","UCSD-SCRIPPS",NA
"UKjerseyMB","","","UK-JERSEY MB",NA
"UKMODB","","","UK-MO DB",NA
"UKMOfixed","","","UK-MO FIXED",NA
"UKMOLV","","","UK-MO LV",NA
"UKMOMB","","","UK-MO MB",NA
"USCGDB","","","US-CG DB",NA
"VOS","","","VOS","GOS Voluntary Observing Ship Program"
"VOS3P","","","VOS-3P",NA
"VOSAU","","","VOS-AU",NA
"VOSCA","","","VOS-CA",NA
"VOSCL","","","VOS-CL",NA
"VOSDE","","","VOS-DE",NA
"VOSES","","","VOS-ES",NA
"VOSEU","","","VOS-EU",NA
"VOSFR","","","VOS-FR",NA
"VOSGB","","","VOS-GB",NA
"VOSGR","","","VOS-GR",NA
"VOSHK","","","VOS-HK",NA
"VOSIE","","","VOS-IE",NA
"VOSIL","","","VOS-IL",NA
"VOSIN","","","VOS-IN",NA
"VOSIS","","","VOS-IS",NA
"VOSJP","","","VOS-JP",NA
"VOSKR","","","VOS-KR",NA
"VOSMY","","","VOS-MY",NA
"VOSNL","","","VOS-NL",NA
"VOSNO","","","VOS-NO",NA
"VOSNZ","","","VOS-NZ",NA
"VOSPL","","","VOS-PL",NA
"VOSRU","","","VOS-RU",NA
"VOSSE","","","VOS-SE",NA
"VOSSHIPMASK","","","VOS-SHIP-MASK",NA
"VOSUS","","","VOS-US",NA
"VOSZA","","","VOS-ZA",NA
"WHOS","","","WHOS",NA
"WHYCOS","","","WHYCOS",NA
"WIGOS","","","WIGOS","WMO Integrated Observing System components"
"windProfiler","","","Wind Profilers","Wind profilers for upper-air wind observations"
"WRO","","","WRO","GOS Weather Radar"
